id,battery,status_id,longitude,latitude,price_id,running,speed,station_id
1,100,1,18.07109350,59.32511720,1,0,0,1
2,100,1,18.07109350,59.32511720,1,0,0,2
3,100,1,18.07109350,59.32511720,1,0,0,3
4,100,1,18.07109350,59.32511720,1,0,0,4
5,100,1,11.96701710,57.70723260,1,0,0,5
6,100,1,11.96701710,57.70723260,1,0,0,6
7,100,1,11.96701710,57.70723260,1,0,0,7
8,100,1,11.96701710,57.70723260,1,0,0,8
9,100,1,13.00015660,55.60529310,1,0,0,9
10,100,1,13.00015660,55.60529310,1,0,0,10
11,100,1,13.00015660,55.60529310,1,0,0,11
12,100,1,13.00015660,55.60529310,1,0,0,12
13,100,1,17.63874360,59.85861260,1,0,0,13
14,100,1,17.63874360,59.85861260,1,0,0,14
15,100,1,17.63874360,59.85861260,1,0,0,15
16,100,1,17.63874360,59.85861260,1,0,0,16
17,100,1,16.54636790,59.61109920,1,0,0,17
18,100,1,16.54636790,59.61109920,1,0,0,18
19,100,1,16.54636790,59.61109920,1,0,0,19
20,100,1,16.54636790,59.61109920,1,0,0,20
21,100,1,15.21511810,59.27472870,1,0,0,21
22,100,1,15.21511810,59.27472870,1,0,0,22
23,100,1,15.21511810,59.27472870,1,0,0,23
24,100,1,15.21511810,59.27472870,1,0,0,24
25,100,1,15.62452520,58.40981350,1,0,0,25
26,100,1,15.62452520,58.40981350,1,0,0,26
27,100,1,15.62452520,58.40981350,1,0,0,27
28,100,1,15.62452520,58.40981350,1,0,0,28
29,100,1,12.7037060,56.04420980,1,0,0,29
30,100,1,12.7037060,56.04420980,1,0,0,30
31,100,1,12.7037060,56.04420980,1,0,0,31
32,100,1,12.7037060,56.04420980,1,0,0,32
33,100,1,14.1657190,57.78256340,1,0,0,33
34,100,1,14.1657190,57.78256340,1,0,0,34
35,100,1,14.1657190,57.78256340,1,0,0,35
36,100,1,14.1657190,57.78256340,1,0,0,36
37,100,1,16.19035110,58.59091240,1,0,0,37
38,100,1,16.19035110,58.59091240,1,0,0,38
39,100,1,16.19035110,58.59091240,1,0,0,39
40,100,1,16.19035110,58.59091240,1,0,0,40
41,100,1,18.07109350,59.32511720,1,0,0,1
42,100,1,18.07109350,59.32511720,1,0,0,2
43,100,1,18.07109350,59.32511720,1,0,0,3
44,100,1,18.07109350,59.32511720,1,0,0,4
45,100,1,11.96701710,57.70723260,1,0,0,5
46,100,1,11.96701710,57.70723260,1,0,0,6
47,100,1,11.96701710,57.70723260,1,0,0,7
48,100,1,11.96701710,57.70723260,1,0,0,8
49,100,1,13.00015660,55.60529310,1,0,0,9
50,100,1,13.00015660,55.60529310,1,0,0,10
51,100,1,13.00015660,55.60529310,1,0,0,11
52,100,1,13.00015660,55.60529310,1,0,0,12
53,100,1,17.63874360,59.85861260,1,0,0,13
54,100,1,17.63874360,59.85861260,1,0,0,14
55,100,1,17.63874360,59.85861260,1,0,0,15
56,100,1,17.63874360,59.85861260,1,0,0,16
57,100,1,16.54636790,59.61109920,1,0,0,17
58,100,1,16.54636790,59.61109920,1,0,0,18
59,100,1,16.54636790,59.61109920,1,0,0,19
60,100,1,16.54636790,59.61109920,1,0,0,20
61,100,1,15.21511810,59.27472870,1,0,0,21
62,100,1,15.21511810,59.27472870,1,0,0,22
63,100,1,15.21511810,59.27472870,1,0,0,23
64,100,1,15.21511810,59.27472870,1,0,0,24
65,100,1,15.62452520,58.40981350,1,0,0,25
66,100,1,15.62452520,58.40981350,1,0,0,26
67,100,1,15.62452520,58.40981350,1,0,0,27
68,100,1,15.62452520,58.40981350,1,0,0,28
69,100,1,12.7037060,56.04420980,1,0,0,29
70,100,1,12.7037060,56.04420980,1,0,0,30
71,100,1,12.7037060,56.04420980,1,0,0,31
72,100,1,12.7037060,56.04420980,1,0,0,32
73,100,1,14.1657190,57.78256340,1,0,0,33
74,100,1,14.1657190,57.78256340,1,0,0,34
75,100,1,14.1657190,57.78256340,1,0,0,35
76,100,1,14.1657190,57.78256340,1,0,0,36
77,100,1,16.19035110,58.59091240,1,0,0,37
78,100,1,16.19035110,58.59091240,1,0,0,38
79,100,1,16.19035110,58.59091240,1,0,0,39
80,100,1,16.19035110,58.59091240,1,0,0,40
81,100,1,18.07109350,59.32511720,1,0,0,1
82,100,1,18.07109350,59.32511720,1,0,0,2
83,100,1,18.07109350,59.32511720,1,0,0,3
84,100,1,18.07109350,59.32511720,1,0,0,4
85,100,1,11.96701710,57.70723260,1,0,0,5
86,100,1,11.96701710,57.70723260,1,0,0,6
87,100,1,11.96701710,57.70723260,1,0,0,7
88,100,1,11.96701710,57.70723260,1,0,0,8
89,100,1,13.00015660,55.60529310,1,0,0,9
90,100,1,13.00015660,55.60529310,1,0,0,10
91,100,1,13.00015660,55.60529310,1,0,0,11
92,100,1,13.00015660,55.60529310,1,0,0,12
93,100,1,17.63874360,59.85861260,1,0,0,13
94,100,1,17.63874360,59.85861260,1,0,0,14
95,100,1,17.63874360,59.85861260,1,0,0,15
96,100,1,17.63874360,59.85861260,1,0,0,16
